From, To, Relation
Halfdan Olafsson White-leg, Gudrod Halfdanarson, father of
Ox-Thorir, Ulf, father of
Odd of Jorvi, Filth-Eyjolf, kinsman of
Aslak Thorbergsson of Langadal, Thorgest Steinsson, ally of
Arnora Einarsdottir, Thorgeir Vifilsson, wife of
Thorbrand Thorfinnsson of Alftafjord, Eirik Thorvaldsson the Red, ally of
Thorbjorn Vifilsson, Gudrid Thorbjanardottir, father of
Sigmund Ketilsson, Einar Sigmundarson, father of
Thorvard, Freydis Eiriksdottir, husband of
Bishop Thorlak Runolfsson, Hallfrid Snorradottir, son of
Bishop Thorlak Runolfsson, Runolf, son of
Bishop Bjorn Gilsson, Thorunn Thorbjarnardottir, son of
King Olaf Tryggvason of Norway, Leif Eiriksson the Lucky, acquaintance of
Thorgeir Thorhallsson of Hitardal, Thorgest Steinsson, ally of
Eyjolf Aesuson of Sviney, Eirik Thorvaldsson the Red, friend of
Thorkel of Herjolfsnes, Thorbjorn Vifilsson, acquaintance of
Thorbjorg 'Little Prophetess', Thorkel of Herjolfsnes, acquaintance of
King Ingjald Helgason, Oleif Ingjaldsson the White, father of
Bjorn Buna, Ketil Bjarnarson Flat-nose, father of
Eystein Ivarsson Glumra, Earl Sigurd the Powerful, father of
Geirstein of Jorvi, Filth-Eyjolf, kinsman of
Thorbjorn Vifilsson, Eirik Thorvaldsson the Red, friend of
Einar Sigmundarson, Arnora Einarsdottir, father of
Einar Sigmundarson, Hallveig Einarsdottir, father of
Sigrid, Thorstein the Black, wife of
Sigrid, Gudrid Thorbjanardottir, acquaintance of
Sigrid, Thorstein Eiriksson the Red, acquaintance of
Thorfinn Thordarson Karlsefni, Gudrid Thorbjanardottir, husband of
Eirik Thorvaldsson the Red, Thorhall Gamlason, acquaintance of
Eirik Thorvaldsson the Red, Thorfinn Thordarson Karlsefni, acquaintance of
Eirik Thorvaldsson the Red, Bjarni Grimolfsson, acquaintance of
Eirik Thorvaldsson the Red, Snorri Thorbrandsson, acquaintance of
Snorri, Thorbrand Snorrason, father of
Thorhall Gamlason, Bjarni Grimolfsson, acquaintance of
Freydis Eiriksdottir, Eirik Thorvaldsson the Red, daughter of
Ovaegi of Markland, Vethild of Markland, husband of
Earl Sigurd the Powerful, Thorstein Oleifsson the Red, ally of
Eyvind the Easterner, Thurid Eyvindardottir, father of
Orm of Arnarstapi, Thorbjorn Vifilsson, friend of
Orm of Arnarstapi, Gudrid Thorbjanardottir, foster father of
Ulf Hreidarsson Crow, Gunnbjorn Ulfsson, father of
Thorgeir of Thorgeirsfell, Einar Thorgeirsson, father of
Halldis, Orm of Arnarstapi, wife of
Halldis, Gudrid Thorbjanardottir, foster mother of
Thorkel of Herjolfsnes, Gudrid Thorbjanardottir, acquaintance of
Thjodhild Jorundardottir, Leif Eiriksson the Lucky, mother of
Thjodhild Jorundardottir, Thorstein Eiriksson the Red, mother of
Eirik Thorvaldsson the Red, Thorstein Eiriksson the Red, father of
Eirik Thorvaldsson the Red, Leif Eiriksson the Lucky, father of
Foreman Gardi, Thorstein the Black, employee of
Grimolf, Bjarni Grimolfsson, father of
Gamli, Thorhall Gamlason, father of
Eirik Thorvaldsson the Red, Gudrid Thorbjanardottir, acquaintance of
Hekja, Thorfinn Thordarson Karlsefni, acquaintance of
Hekja, Haki, acquaintance of
Thorhall the Huntsman, Eirik Thorvaldsson the Red, friend of
Thorvald Eiriksson, Eirik Thorvaldsson the Red, son of
Hallfrid Snorradottir, Snorri Thorfinnsson, daughter of
Thorgeir Snorrason, Snorri Thorfinnsson, son of
Thorstein Eiriksson the Red, Gudrid Thorbjanardottir, husband of
Thorstein the Black, Thorstein Eiriksson the Red, acquaintance of
Thorstein the Black, Gudrid Thorbjanardottir, acquaintance of
Ingolf Anason, Eirik Thorvaldsson the Red, ally of
Thorgeir Vifilsson, Thorbjorn Vifilsson, brother of
Ketil Thistle, Sigmund Ketilsson, father of
Thord Olafsson Bellower, Thorgest Steinsson, ally of
Illugi Aslaksson, Thorgest Steinsson, ally of
Einar Thorgeirsson, Orm of Arnarstapi, friend of
Thorbjorg 'Little Prophetess', Gudrid Thorbjanardottir, acquaintance of
Thurid Eyvindardottir, Thorstein Oleifsson the Red, wife of
Gudrod Halfdanarson, Olaf Gudrodarson, father of
